"Run","Start","End","StaticCost","StaticTime(ms)","StaticPathLen","AdaptiveCost","AdaptiveTime(ms)","AdaptivePathLen","CostDelta(%)","TimeDelta(%)"
"82","N41","N181","14.901","0.097","4","14.901","0.075","4","0.00","22.67"
"83","N118","N20","28.053","0.163","10","28.053","0.187","10","0.00","-14.47"
"84","N160","N16","36.210","0.174","10","36.351","0.150","10","-0.39","13.90"
"85","N174","N39","19.657","0.241","6","19.942","0.214","6","-1.45","10.93"
"86","N152","N201","18.957","0.108","9","18.957","0.170","9","0.00","-57.47"
"87","N194","N95","13.702","0.125","3","13.702","0.099","3","0.00","20.48"
"88","N10","N132","13.719","0.111","7","13.719","0.105","7","0.00","5.57"
"89","N219","N126","Infinity","0.144","0","Infinity","0.155","0","NaN","-8.07"
"90","N138","N120","38.043","0.161","10","38.043","0.152","10","0.00","5.59"
"91","N114","N107","8.196","0.032","3","8.196","0.033","3","0.00","-2.48"
"92","N15","N162","31.319","0.348","6","31.319","0.467","6","0.00","-34.21"
"93","N62","N115","32.077","0.104","7","32.077","0.102","7","0.00","2.21"
"94","N92","N199","56.813","0.107","13","56.813","0.113","13","0.00","-5.99"
"95","N146","N110","14.059","0.041","3","14.059","0.037","3","0.00","9.36"
"96","N36","N35","21.872","0.125","7","21.872","0.127","7","0.00","-1.84"
"97","N225","N213","29.749","0.065","8","29.749","0.059","8","0.00","9.58"
"98","N47","N70","31.264","0.186","6","31.264","0.209","6","0.00","-12.10"
"99","N144","N1","38.849","0.084","8","38.849","0.100","8","0.00","-18.65"
"100","N32","N267","32.648","0.105","7","32.648","0.107","7","0.00","-1.04"
